year,position,driver_1,driver_2,constructor
1965,31,P. M. Taylor,T. M. Egan,Morris de Luxe
1965,32,John Connolly,Rex Emmett,Renault R8
1965,33,Ray Heffernan,Bill Daly,Fiat 850
1965,34,Peter Brown,Ray Gulson,Ford Cortina GT500
1965,35,Steve Harvey,Laurie Stewart,Morris de Luxe
1965,36,Peter Cray,Don Holland,Morris Cooper
1965,37,Bob Salter,Ken Wiggins,Ford Cortina GT500
1965,38,Lionel Williams,Evan Thomas,Holden X2
1965,39,Frank Hann,Graham Forrest,Morris Cooper
1965,40,David Walker,Carl Kennedy,Ford Cortina GT500
1965,41,Bill Barnett,Don Johnston,Humber Vogue
1965,42,Fred Otten,Mick Crampton,Fiat 2300
1965,43,Keith Russell,Colin Wear,Triumph 2000
1965,44,Bob Jane,George Reynolds,Ford Cortina GT500
1965,45,Bob Beasley,Ron Hodgson,Ford Cortina GT500
1965,46,Bill Burns,Brian Lawler,Fiat 850
1965,47,Don Mudd,Tony Kavanagh,Vauxhall Viva
