Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
17/9/2016,The Shorts,Randwick,Takedown,0.2,$15 ,G2,Tim Clark,Gary Moore
17/9/2016,John Letts Cup,Morphettville,Raw Impulse,4.8,$2.20F,LR,Dean Yendall,Darren Weir
17/9/2016,W.H. Wylie Handicap,Morphettville,Illustrious Lad,0.8,$2.50F,LR,Anthony Darmanin,Peter Gelagotis
17/9/2016,Foundation Cup,Caulfield,Jameka,3.75,$6.50 ,G3,Nicholas Hall,Ciaron Maher
17/9/2016,How Now Stakes,Caulfield,Secret Agenda,2.25,$2.80F,G3,Damien Oliver,Mick Price
17/9/2016,Testa Rossa Stakes,Caulfield,Keen Array,0.1,$3.80F,LR,Dwayne Dunn,David & Ben Hayes & Tom Dabernig
18/9/2016,Boulder Cup,Kalgoorlie,Don’tgetcaught,0.25,$10 ,LR,Peter Hall,Ben Pearce
22/9/2016,Hannan's Handicap,Kalgoorlie,Socially Unique,0.1,$3.80F,LR,William Pike,Grant & Alana Williams
23/9/2016,Scarborough Stakes,Moonee Valley,Selenia,0.3,$41 ,G3,Jye McNeil,Robbie Griffiths
24/9/2016,ATC Golden Pendant,Rosehill,Tycoon Tara,2,$4.80 ,G2,Joshua Parr,Peter & Paul Snowden
24/9/2016,Callander-Presnall Stakes,Rosehill,Impending,0.3,$2.50F,G2,James McDonald,John O'Shea
24/9/2016,Colin Stephen Quality,Rosehill,Allergic,0.3,$2.05F,G3,James McDonald,John O'Shea
24/9/2016,Gloaming Stakes,Rosehill,Veladero,0.2,$14 ,G3,Rory Hutchings,Chris Waller
24/9/2016,Reginald Allen Quality,Rosehill,Zenalicious,1,$16 ,LR,Tim Clark,Les Bridge
24/9/2016,Shannon Stakes,Rosehill,Moral Victory,1.3,$5 ,G2,Jason Collett,Tim Martin
24/9/2016,Caulfield Guineas Prelude,Caulfield,Sacred Elixir,0.4,$9 ,G3,Damian Lane,Tony Pike
24/9/2016,R.M. Ansett Classic,Caulfield,Almandin,2,$5 ,LR,Damien Oliver,Robert Hickmott
24/9/2016,Sir Rupert Clarke Stakes,Caulfield,Bon Aurum,0.4,$4.40 ,G1,Kerrin McEvoy,Ciaron Maher
24/9/2016,Thousand Guineas Prelude,Caulfield,Legless Veuve,0.5,$12 ,G2,Mark Zahra,Stuart Webb
24/9/2016,Underwood Stakes,Caulfield,Black Heart Bart,2.5,$2.20F,G1,Brad Rawiller,Darren Weir
25/9/2016,Kalgoorlie Gold Cup,Kalgoorlie,Cougar Express,1,$7 ,LR,Aaron Mitchell,Lindsey Smith
30/9/2016,Bill Stutt Stakes,Moonee Valley,Hey Doc,1.5,$4F,G2,Luke Currie,Tony McEvoy
30/9/2016,JRA Cup,Moonee Valley,Real Love,3,$3.40F,G3,Brad Rawiller,Darren Weir
30/9/2016,Moir Stakes,Moonee Valley,Extreme Choice,1.25,$5 ,G1,Craig Newitt,Mick Price
30/9/2016,Stocks Stakes,Moonee Valley,Don't Doubt Mamma,0.4,$3.50EF,G2,Dwayne Dunn,Tony McEvoy
1/10/2016,ATC Breeders' Plate,Randwick,Khan,1.3,$5.50 ,LR,Blake Shinn,Peter & Paul Snowden
1/10/2016,Craven Plate,Randwick,It's Somewhat,4.8,$1.55F,G3,James McDonald,John O'Shea
1/10/2016,Dulcify Quality,Randwick,Moqueen,1.3,$15 ,LR,Jason Collett,Anthony Cummings
1/10/2016,Epsom Handicap,Randwick,Hauraki,0.1,$6.50 ,G1,James McDonald,John O'Shea
1/10/2016,Flight Stakes,Randwick,Global Glamour,0.5,$6 ,G1,Tim Clark,Gai Waterhouse & Adrian Bott
1/10/2016,Gimcrack Stakes,Randwick,Jorda,0.8,$1.95F,LR,James McDonald,John O'Shea
1/10/2016,Premiere Stakes,Randwick,Takedown,0.1,$7 ,G2,Blake Shinn,Gary Moore
1/10/2016,Roman Consul Stakes,Randwick,Russian Revolution,0.2,$9 ,G2,Kerrin McEvoy,Peter & Paul Snowden
1/10/2016,The Metropolitan,Randwick,Sir John Hawkwood,1.3,$6 ,G1,Blake Spriggs,John Thompson
1/10/2016,Black Heart Bart Stakes,Belmont,Lite'n in My Veins,0.75,$13 ,LR,Steven Parnham,Fred Kersley
2/10/2016,Edward Manifold Stakes,Flemington,Serenely Discreet,1.25,$9 ,G2,Luke Nolen,Phillip Stokes
2/10/2016,Gilgai Stakes,Flemington,The Quarterback,0.75,$6.50 ,G2,Matthew Allen,Robbie Griffiths
2/10/2016,Maribyrnong Trial Stakes,Flemington,Madeenaty,2.25,$3.20F,LR,Mark Zahra,David & Ben Hayes & Tom Dabernig
2/10/2016,Paris Lane Stakes,Flemington,Ulmann,0.2,$3.40F,LR,Damian Lane,Darren Weir
2/10/2016,Poseidon Stakes,Flemington,Inside Agent,0.5,$7 ,LR,Michael Walker,Nigel Blackiston
2/10/2016,Rose Of Kingston Stakes,Flemington,French Emotion,0.4,$7 ,G2,Ben Melham,Chris Waller
2/10/2016,Super Impose Stakes,Flemington,Wine Bush,0.1,$19 ,LR,Hugh Bowman,Chris Waller
2/10/2016,The Bart Cummings,Flemington,Almandin,1.5,$3F,G3,Damien Oliver,Robert Hickmott
2/10/2016,Turnbull Stakes,Flemington,Hartnell,3.25,$1.90F,G1,James McDonald,John O'Shea
8/10/2016,Angst Quality,Randwick,Dixie Blossoms,1.3,$3.20 ,G3,Tim Clark,Ron Quinton
8/10/2016,Spring Champion Stakes,Randwick,Yankee Rose,0.5,$2.20F,G1,Dean Yendall,David Vandyke
8/10/2016,Hill Smith Stakes,Morphettville,Pretty Punk,1.8,$6.50 ,LR,Joe Bowditch,Leon Macdonald & Andrew Gluyas
8/10/2016,Caulfield Guineas,Caulfield,Divine Prophet,0.2,$7 ,G1,Dwayne Dunn,Team Hawkes
8/10/2016,Debutant Stakes,Caulfield,Wait for No One,0.1,$4F,LR,Stephen Baster,David & Ben Hayes & Tom Dabernig
8/10/2016,Herbert Power Stakes,Caulfield,Assign,0.1,$3.10F,G2,Katelyn Mallyon,Robert Hickmott
8/10/2016,Northwood Plume Stakes,Caulfield,Sheidel,0.4,$2.70F,G3,James McDonald,David & Ben Hayes & Tom Dabernig
8/10/2016,One Thousand Guineas,Caulfield,Global Glamour,1,$4.40 ,G1,Kerrin McEvoy,Gai Waterhouse & Adrian Bott
8/10/2016,Schillaci Stakes,Caulfield,Star Turn,2.25,$2.10F,G2,Craig Williams,Team Hawkes
8/10/2016,The Might And Power,Caulfield,Winx,2,$1.24F,G1,Hugh Bowman,Chris Waller
8/10/2016,The Weekend Hussler,Caulfield,Chetwood,2,$1.90F,LR,James McDonald,John O'Shea
8/10/2016,Thoroughbred Club Stakes,Caulfield,Hear the Chant,0.1,$9.50 ,G3,Dwayne Dunn,David & Ben Hayes & Tom Dabernig
8/10/2016,Toorak Handicap,Caulfield,He's Our Rokkii,0.4,$2.50F,G1,Dwayne Dunn,David & Ben Hayes & Tom Dabernig
12/10/2016,Murray Bridge Gold Cup,Murray Bridge,Sandhill Warrior,0.4,$13 ,LR,Paul Gatt,Sam Turner
12/10/2016,Blue Sapphire Stakes,Caulfield,Flying Artie,1.25,$2F,G3,Damien Oliver,Mick Price
12/10/2016,Ladies' Day Vase,Caulfield,Euro Angel,1.5,$5.50 ,G3,Dwayne Dunn,Team Hawkes
12/10/2016,Village Stakes,Caulfield,Keen Array,2,$3F,LR,Dwayne Dunn,David & Ben Hayes & Tom Dabernig
15/10/2016,Brian Crowley Stakes,Randwick,Spright,2.8,$8.50 ,LR,Jason Collett,Garry Frazer
15/10/2016,City Tattersall's Club Cup,Randwick,Junoob,1,$5.50 ,LR,Rory Hutchings,Chris Waller
15/10/2016,Sydney Stakes,Randwick,Spieth,0.8,$3F,LR,Jay Ford,Bryce Heys
15/10/2016,The Nivison,Randwick,Egyptian Symbol,1.3,$2.60F,G3,Jason Collett,Bjorn Baker
15/10/2016,Durbridge Stakes,Morphettville,Cavaloce,0.7,$11 ,LR,Jamie Melham,Will Clarken
15/10/2016,Alinghi Stakes,Caulfield,Palazzo Pubblico,0.2,$31 ,LR,Steven Arnold,Matthew Smith
15/10/2016,Caulfield Classic,Caulfield,Good Standing,0.75,$2.90F,G3,Blake Shinn,John O'Shea
15/10/2016,Caulfield Cup,Caulfield,Jameka,3,$4.20F,G1,Nicholas Hall,Ciaron Maher
15/10/2016,Caulfield Sprint,Caulfield,Our Boy Malachi,1.5,$4.20 ,G2,Dwayne Dunn,Team Hawkes
15/10/2016,Coongy Cup,Caulfield,Vanbrugh,0.5,$5 ,G3,Ben Melham,Chris Waller
15/10/2016,Ethereal Stakes,Caulfield,Eleonora,1.25,$7 ,G3,Damien Oliver,Murray Baker & Andrew Forsman
15/10/2016,Gothic Stakes,Caulfield,Peacock,0.1,$19 ,LR,Dwayne Dunn,John O'Shea
15/10/2016,Moonga Stakes,Caulfield,Voodoo Lad,1.5,$2.50F,G3,Brad Rawiller,Darren Weir
15/10/2016,Tristarc Stakes,Caulfield,First Seal,0.2,$7.50 ,G2,Blake Shinn,John Thompson
15/10/2016,Eurythmic Stakes,Ascot,Lite'n in My Veins,0.15,$5.50 ,G3,Steven Parnham,Fred Kersley
19/10/2016,Black Pearl Stakes,Geelong,Rockolicious,0.5,$6F,LR,Dean Yendall,Darren Weir
19/10/2016,Geelong Classic,Geelong,Captain Duffy,1.25,$21 ,LR,Noel Callow,Phillip Stokes
19/10/2016,Geelong Cup,Geelong,Qewy,0.2,$4 ,G3,Kerrin McEvoy,Charlie Appleby
21/10/2016,Manikato Stakes,Moonee Valley,Rebel Dane,0.2,$61 ,G1,Ben Melham,Gary Portelli
22/10/2016,Cox Plate,Moonee Valley,Winx,8,$1.80F,G1,Hugh Bowman,Chris Waller
22/10/2016,Crystal Mile,Moonee Valley,The United States,1,$3.60F,G2,Kerrin McEvoy,Robert Hickmott
22/10/2016,Moonee Valley Fillies Classic,Moonee Valley,Nurse Kitchen,0.5,$19 ,G2,Kerrin McEvoy,David Brideoake
22/10/2016,Moonee Valley Gold Cup,Moonee Valley,Grand Marshal,0.75,$19 ,G2,Ben Melham,Chris Waller
22/10/2016,Moonee Valley Vase,Moonee Valley,Sacred Elixir,0.5,$4.60F,G2,Damian Lane,Tony Pike
22/10/2016,Red Anchor Stakes,Moonee Valley,Archives,0.1,$2.10F,G3,James McDonald,John O'Shea
22/10/2016,Tesio Stakes,Moonee Valley,Kaniana,0.75,$17 ,G3,Damian Lane,Darren Weir
22/10/2016,William Crockett Stakes,Moonee Valley,Sweet Sherry,0.2,$4F,LR,Steven Arnold,Leon & Troy Corstens
22/10/2016,Belgravia Stakes,Ascot,Caipirinha,1,$2.90F,LR,Joseph Azzopardi,Simon A Miller
23/10/2016,Sale Cup,Sale,First Course,0.1,$10 ,LR,Ben Thompson,Ken Keys
23/10/2016,Northam Cup,Northam,Chocolate Holic,2.25,$2.20F,LR,William Pike,Grant & Alana Williams
26/10/2016,Bendigo Cup,Bendigo,Francis Of Assisi,3,$6.50 ,G3,Kerrin McEvoy,Charlie Appleby
29/10/2016,Archer Stakes,Flemington,Oceanographer,0.4,$2.70F,G3,Kerrin McEvoy,Charlie Appleby
29/10/2016,Coolmore Stud Stakes,Flemington,Flying Artie,1.25,$10 ,G1,Hugh Bowman,Mick Price
29/10/2016,Empire Rose Stakes,Flemington,I Am a Star,0.4,$8.50 ,G1,Dean Yendall,Shane Nichols
29/10/2016,Furphy Sprint,Flemington,Sheidel,0.1,$3F,G3,Joao Moreira,David & Ben Hayes & Tom Dabernig
29/10/2016,The Damien Oliver,Flemington,Illustrious Lad,1.25,$14 ,G2,Anthony Darmanin,Peter Gelagotis
29/10/2016,Victoria Derby,Flemington,Prized Icon,2.5,$17 ,G1,Glyn Schofield,James Cummings
29/10/2016,VRC Carbine Club Stakes,Flemington,Comin' Through,0.2,$7 ,G3,Michael Walker,Chris Waller
29/10/2016,VRC Champions Mile,Flemington,Le Romain,1,$15 ,G1,Hugh Bowman,Kris Lees
29/10/2016,Wakeful Stakes,Flemington,Tiamo Grace,1.25,$5 ,G2,Damian Lane,Darren Weir
29/10/2016,Asian Beau Stakes,Ascot,Heart Starter,0.25,$3.70F,G3,William Pike,Grant & Alana Williams
29/10/2016,Prince Of Wales Stakes,Ascot,Rock Magic,0.75,$9 ,G3,Jarrad Noske,Chris Gangemi
1/11/2016,Always Welcome Stakes,Flemington,Flippant,2.5,$21 ,LR,Blake Shinn,Peter & Paul Snowden
1/11/2016,Desirable Stakes,Flemington,Jennifer Lynn,0.1,$12 ,LR,Blake Shinn,Darren Weir
1/11/2016,Kirin Ichiban Plate,Flemington,Fabrizio,3.25,$3F,LR,Luke Nolen,Gai Waterhouse & Adrian Bott
1/11/2016,HKJC Stakes,Flemington,Artistry,0.5,$6.50 ,G3,Hugh Bowman,Peter & Paul Snowden
1/11/2016,Melbourne Cup,Flemington,Almandin,0.2,$11 ,G1,Kerrin McEvoy,Robert Hickmott
1/11/2016,Ottawa Stakes,Flemington,Invincible Star,2.25,$16 ,G3,Joao Moreira,Gai Waterhouse & Adrian Bott
1/11/2016,Burgess Queen Stakes,Ascot,Ellicazoom,1,$7.50 ,LR,Steven Parnham,Neville Parnham
3/11/2016,Ladies' Day Cup,Hawkesbury,Famous Seamus,1.8,$9 ,LR,Jay Ford,Noel Mayfield-Smith
3/11/2016,Century Stakes,Flemington,Redzel,0.1,$5.50 ,LR,Blake Shinn,Peter & Paul Snowden
3/11/2016,Red Roses Stakes,Flemington,Spright,1.25,$4.20F,G3,Kerrin McEvoy,Garry Frazer
3/11/2016,Rising Fast Stakes,Flemington,Rageese,1,$6 ,G3,Damian Lane,Darren Weir
3/11/2016,TAB Trophy,Flemington,Anaheim,1,$9 ,LR,Ben Melham,Trent Busuttin & Natalie Young
3/11/2016,Victoria Oaks,Flemington,Lasqueti Spirit,3.75,$101 ,G1,Brenton Avdulla,Lee Curtis
5/11/2016,The Amanda Elliott,Flemington,Souchez,0.2,$10 ,LR,James McDonald,John O'Shea
5/11/2016,Maribyrnong Plate,Flemington,Aspect,1.25,$12 ,G3,Kerrin McEvoy,Tony McEvoy
5/11/2016,Matriarch Stakes,Flemington,Jessy Belle,0.5,$26 ,G2,Craig Williams,David & Ben Hayes & Tom Dabernig
5/11/2016,VRC Champions Mile,Flemington,Awesome Rock,0.75,$18 ,G1,Stephen Baster,Leon & Troy Corstens
5/11/2016,VRC Champions Sprint,Flemington,Malaguerra,0.1,$9.50 ,G1,Ben Melham,Peter Gelagotis
5/11/2016,VRC Queen Elizabeth Stakes,Flemington,Francis Of Assisi,10,$5.50 ,G3,William Buick,Charlie Appleby
5/11/2016,Fairetha Stakes,Ascot,Saul's Special,0.25,$2.10F,LR,Brad Parnham,Daniel Morton
5/11/2016,WATC Lee Steere Stakes,Ascot,Perfect Reflection,0.5,$3.60 ,G2,William Pike,Grant & Alana Williams
12/11/2016,Doveton Stakes,Sandown,Husson Eagle,1.25,$9 ,LR,Michelle Payne,Patrick Payne
12/11/2016,Eclipse Stakes,Sandown,Turnitaround,0.3,$9.50 ,G3,Hugh Bowman,Matthew Williams
12/11/2016,Kevin Heffernan Stakes,Sandown,Lucky Hussler,0.1,$5.50 ,G3,Brad Rawiller,Darren Weir
12/11/2016,Merson Cooper Stakes,Sandown,Arctic Angel,1.75,$6 ,LR,Chris Symons,Mathew Ellerton & Simon Zahra
12/11/2016,Sandown Cup,Sandown,Qewy,0.2,$1.90F,LR,Kerrin McEvoy,Charlie Appleby
12/11/2016,Sandown Guineas,Sandown,Morton's Fork,0.1,$2.30F,G2,Craig Williams,James Cummings
12/11/2016,Sandown Stakes,Sandown,Redkirk Warrior,0.4,$2.80F,G3,Craig Williams,David & Ben Hayes & Tom Dabernig
12/11/2016,Summoned Stakes,Sandown,Silent Sedition,0.75,$3.20F,G3,Craig Williams,Andrew Noblet
12/11/2016,Twilight Glow Stakes,Sandown,Prompt Response,0.4,$2.70F,LR,Damien Oliver,Gai Waterhouse & Adrian Bott
12/11/2016,Zipping Classic,Sandown,Beautiful Romance,0.1,$5 ,G2,Glyn Schofield,Saeed Bin Suroor
12/11/2016,Colonel Reeves Stakes,Ascot,Vega Magic,0.15,$3F,G3,Jake Casey,Sean Casey
12/11/2016,Luckygray Stakes,Ascot,Tonto,0.5,$10 ,LR,Jason Brown,Lou Luciani
12/11/2016,R.J. Peters Stakes,Ascot,Scales of Justice,1,$2.60F,G3,Paul Harvey,Lindsey Smith
12/11/2016,WATC Champion Fillies Stakes,Ascot,Samovare,1,$5 ,G3,Brad Parnham,Daniel Morton
16/11/2016,TTC Newmarket Handicap,Launceston,Tshahitsi,0.4,$12.40 ,LR,Damien Thornton,Chris Crook & Imogen Miller
19/11/2016,Keith Noud Handicap,Eagle Farm,Too Good to Refuse,1.8,$4 ,LR,Jim Byrne,Desleigh Forster
19/11/2016,Ballarat Cup,Ballarat,Pilote D'essai,2,$16 ,LR,Regan Bayliss,David & Ben Hayes & Tom Dabernig
19/11/2016,Carbine Club Of WA Stakes,Ascot,Chocolate Holic,0.5,$5.50 ,LR,Damien Oliver,Grant & Alana Williams
19/11/2016,Jungle Mist Classic,Ascot,Cosmic Storm,0.25,$5.50 ,LR,William Pike,Grant & Alana Williams
19/11/2016,Placid Ark Stakes,Ascot,Caipirinha,2.25,$1.80F,LR,Joseph Azzopardi,Simon A Miller
19/11/2016,WATC Railway Stakes,Ascot,Scales of Justice,2.75,$9 ,G1,Douglas Whyte,Lindsey Smith
19/11/2016,West Australian Guineas,Ascot,Variation,0.5,$19 ,G2,Damian Lane,Stephen Miller
20/11/2016,Kilmore Cup,Kilmore,Hazzabeel,1.75,$18 ,LR,Michael Dee,Ciaron Maher
26/11/2016,Eureka Stud Classic,Eagle Farm,Elegant Composure,1,$8 ,LR,Larry Cassidy,Robert Heathcote
26/11/2016,Recognition Stakes,Eagle Farm,Cylinder Beach,1.5,$8.50 ,LR,Luke Tarrant,Desleigh Forster
26/11/2016,WATC Tattersall's Cup,Ascot,Respondent,0.05,$19 ,LR,Chris Parnham,Fred Kersley
26/11/2016,Winterbottom Stakes,Ascot,Takedown,0.25,$9 ,G1,Tim Clark,Gary Moore
3/12/2016,ATC Cup,Rosehill,Malice,0.4,$8 ,LR,James Doyle,John O'Shea
3/12/2016,Festival Stakes,Rosehill,Sweet Redemption,0.2,$5.50 ,G3,Brenton Avdulla,Gai Waterhouse & Adrian Bott
3/12/2016,Starlight Stakes,Rosehill,Kuro,0.8,$7.50 ,LR,Jay Ford,Joseph Pride
3/12/2016,Pakenham Cup,Pakenham,Pilote D'essai,2.25,$5 ,LR,Regan Bayliss,David & Ben Hayes & Tom Dabernig
3/12/2016,George Moore Stakes,Eagle Farm,Most Important,2.8,$7 ,G3,Robbie Fradd,Tony Gollan
3/12/2016,Jungle Dawn Classic,Ascot,Silverstream,0.5,$21 ,LR,Damien Oliver,Grant & Alana Williams
3/12/2016,Northerly Stakes,Ascot,Stratum Star,0.05,$10 ,G1,Damian Lane,Darren Weir
3/12/2016,Sir Ernest Lee Steere Classic,Ascot,Lusaha,0.5,$2.70 ,LR,Hugh Bowman,Daniel Morton
7/12/2016,Conquering Stakes,Launceston,Admiral,0.2,$1.80F,LR,Luke Currie,Barry Campbell
10/12/2016,City Of Marion Stakes,Morphettville,Cavaloce,0.2,$7.50 ,LR,Todd Pannell,Will Clarken
10/12/2016,Just Now Quality,Eagle Farm,Ravi,3.3,$2.25F,LR,Kerrin McEvoy,Peter & Paul Snowden
10/12/2016,Mode Stakes,Eagle Farm,Eckstein,0.2,$9 ,LR,Heather Poland,Kurt Goldman
10/12/2016,G.A. Towton Cup,Ascot,Kia Ora Koutou,1.25,$4.40 ,LR,Joseph Azzopardi,G Durrant & J Miller
10/12/2016,R.S. Crawford Stakes,Ascot,Malibu Style,0.75,$3.40F,LR,Chris Parnham,Neville Parnham
10/12/2016,The Gold Rush,Ascot,Vega Magic,2,$3.20 ,G3,Jake Casey,Sean Casey
17/12/2016,ATC Christmas Cup,Randwick,Destiny's Kiss,1.5,$5 ,LR,Joshua Parr,Joseph Pride
17/12/2016,Razor Sharp Handicap,Randwick,The Monstar,0.8,$16 ,LR,Tommy Berry,Brett Cavanough
17/12/2016,The Ingham,Randwick,Sense of Occasion,0.2,$31 ,G2,Ben Melham,Kris Lees
17/12/2016,Bribie Handicap,Doomben,Straturbo,0.8,$6 ,LR,Anthony Allen,Gary Portelli
17/12/2016,Brisbane Handicap,Doomben,Man of His Word,1.8,$4.80 ,LR,Jeff Lloyd,Bruce W Hill
17/12/2016,Calaway Gal Stakes,Doomben,Champ Elect,0.2,$5.50 ,LR,Damian Browne,Chris Munce
17/12/2016,Gold Edition Plate,Doomben,Winning Rupert,5.5,$1.10F,LR,Jeff Lloyd,Bjorn Baker
17/12/2016,Lough Neagh Stakes,Doomben,Most Important,1.3,$2.60F,LR,Robbie Fradd,Tony Gollan
17/12/2016,Phelan Ready Stakes,Doomben,Ours to Keep,0.4,$2.15F,LR,Damian Browne,Chris Munce
17/12/2016,Starstruck Classic,Ascot,Cosmic Storm,0.35,$2.40F,LR,William Pike,Grant & Alana Williams
17/12/2016,Ted Van Heemst Stakes,Ascot,Perfect Reflection,0.75,$1.80F,G2,William Pike,Grant & Alana Williams
21/12/2016,Tasmanian Stakes,Launceston,Admiral,0.3,$1.90F,LR,Luke Currie,Barry Campbell
24/12/2016,WATC ATA Stakes,Ascot,Star Exhibit,1.25,$2.20F,LR,Glenn Smith,G Durrant & J Miller
26/12/2016,ATC Summer Cup,Randwick,Red Excitement,3,$6.50 ,G3,Adam Hyeronimus,Gerald Ryan
26/12/2016,SAJC Christmas Handicap,Morphettville,Casino Wizard,0.6,$8 ,LR,Jason Holder,Lee Creek
26/12/2016,Lord Stakes,Caulfield,Kenjorwood,0.3,$2.45F,LR,Brad Rawiller,Darren Weir
26/12/2016,MRC Christmas Stakes,Caulfield,Lucky Liberty,1.25,$5.50 ,LR,Michelle Payne,Henry Dwyer
31/12/2016,B.J. McLachlan Stakes,Eagle Farm,Ours to Keep,1.8,$3.20EF,G3,Damian Browne,Chris Munce
31/12/2016,Bernborough Handicap,Eagle Farm,Cylinder Beach,0.5,$4.80 ,LR,Jim Byrne,Desleigh Forster
31/12/2016,Falvelon Quality,Eagle Farm,Hidden Pearl,0.8,$3F,LR,Brad Pengelly,Barry Lockwood
31/12/2016,Nudgee Handicap,Eagle Farm,Kinshachi,0.8,$5.50 ,LR,Jeff Lloyd,John O'Shea
31/12/2016,Vo Rogue Plate,Eagle Farm,Winning Rupert,3,$1.10F,G3,Jeff Lloyd,Bjorn Baker
31/12/2016,Canterbury Classic,Canterbury,Le Cordon Bleu,0.8,$19 ,LR,Christian Reith,Team Hawkes
31/12/2016,La Trice Classic,Ascot,Cosmic Storm,1,$2F,G3,William Pike,Grant & Alana Williams
31/12/2016,Perth Cup,Ascot,Star Exhibit,0.05,$5 ,G2,Jarrad Noske,G Durrant & J Miller
31/12/2016,Summer Scorcher,Ascot,Potent Secret,0.5,$13 ,LR,Jerry Noske,Roy Rogers
1/1/2017,Bagot Handicap,Flemington,Annus Mirabilis,2.25,$3.60F,LR,Regan Bayliss,Stuart Webb
1/1/2017,Standish Handicap,Flemington,Odyssey Moon,0.1,$15 ,G3,Noel Callow,Robert Smerdon
2/1/2017,ATC January Cup,Randwick,Destiny's Kiss,0.8,$4.40 ,LR,Brenton Avdulla,Joseph Pride
6/1/2017,Tasmanian Guineas,Hobart,Hot Dipped,0.2,$1.60F,LR,Bulent Muhcu,Brendan Mcshane
13/1/2017,Belle Of The Turf Stakes,Gosford,Imposing Lass,1,$2.80F,G3,Jason Collett,Bjorn Baker
13/1/2017,Gosford Gold Cup,Gosford,Red Excitement,2,$3.70 ,LR,Adam Hyeronimus,Gerald Ryan
13/1/2017,Takeover Target Stakes,Gosford,Kuro,1,$6 ,LR,Joshua Parr,Joseph Pride
14/1/2017,Chester Manifold Stakes,Flemington,Grande Rosso,1.25,$4.40F,LR,Regan Bayliss,Peter & Paul Snowden
14/1/2017,Miss Andretti Stakes,Ascot,Volkoff,0.45,$3.70F,LR,Jason Whiting,Gary Crispin
21/1/2017,Carrington Stakes,Randwick,Ecuador,1.3,$5.50 ,LR,Adam Hyeronimus,Gai Waterhouse & Adrian Bott
22/1/2017,Launceston Guineas,Hobart,Northwest Passage,7.5,$2.70 ,LR,Adam Hyeronimus,Gai Waterhouse & Adrian Bott
26/1/2017,Australia Day Cup,Randwick,Destiny's Kiss,0.8,$2.60F,LR,Brenton Avdulla,Joseph Pride
26/1/2017,Blue Diamond Preview (C&G),Caulfield,Property,1.75,$4.60 ,LR,Craig Williams,Robert Smerdon
26/1/2017,Blue Diamond Preview (F),Caulfield,Limestone,0.1,$2.70F,G3,Damian Lane,Darren Weir
26/1/2017,John Dillon Stakes,Caulfield,Grande Rosso,0.1,$3.10F,LR,Regan Bayliss,Peter & Paul Snowden
27/1/2017,Australia Stakes,Moonee Valley,Malaguerra,2,$4.20 ,G2,Ben Melham,Peter Gelagotis
28/1/2017,Sunshine Coast Cup,Sunshine Coast,Sir Moments,0.2,$7 ,LR,Damian Browne,Steven O'Dea
28/1/2017,Canonbury Stakes,Rosehill,Pariah,1,$5.50 ,G3,Kerrin McEvoy,Peter & Paul Snowden
28/1/2017,Expressway Stakes,Rosehill,Music Magnate,1.3,$1.95F,G2,Kerrin McEvoy,Bjorn Baker
28/1/2017,Widden Stakes,Rosehill,Teaspoon,0.5,$7 ,G3,Hugh Bowman,Michael Freedman
28/1/2017,Kensington Stakes,Flemington,Tivaci,0.2,$17 ,LR,Patrick Moloney,Michael Moroney
28/1/2017,Scenic Blast Stakes,Ascot,Divine Calling,1,$12 ,LR,Daniel Staeck,Fred Kersley
3/2/2017,Bow Mistress Stakes,Hobart,Ocean Embers,0.5,$2.70 ,G3,Jason Benbow,Shea Eden
3/2/2017,Tasmanian Derby,Hobart,Northwest Passage,3.3,$1.10F,LR,Adam Hyeronimus,Gai Waterhouse & Adrian Bott
4/2/2017,Eskimo Prince Stakes,Randwick,Man From Uncle,0.3,$14 ,G3,Jason Collett,Anthony Cummings
4/2/2017,Hot Danish Stakes,Randwick,In Her Time,0.4,$15 ,G2,Andrew Adkins,Benjamin Smith
4/2/2017,Lonhro Plate,Randwick,Veranillo,1.5,$3.70F,LR,James Doyle,John O'Shea
4/2/2017,Manfred Stakes,Caulfield,Legless Veuve,0.75,$18 ,G3,Mark Zahra,Stuart Webb
4/2/2017,MRC Chairman's Stakes,Caulfield,Formality,1.5,$2.45F,G3,Craig Williams,David & Ben Hayes & Tom Dabernig
4/2/2017,W.J. Adams Stakes,Caulfield,Thermal Current,0.3,$7.50 ,LR,Damian Lane,Darren Weir
5/2/2017,Elwick Stakes,Hobart,Pateena Arena,0.2,$5.10 ,LR,Luke Currie,Bill Ryan
5/2/2017,Hobart Cup,Hobart,Count da Vinci,1.5,$10.80 ,G3,David Pires,Scott Brunton
5/2/2017,Strutt Stakes,Hobart,Hot Dipped,0.8,$1.70F,LR,Bulent Muhcu,Brendan Mcshane
5/2/2017,Thomas Lyons Stakes,Hobart,Hellova Street,0.1,$3.40 ,LR,Brenton Avdulla,Scott Brunton
11/2/2017,Autumn Stakes,Caulfield,Oak Door,1,$5 ,G2,Damian Lane,Robert Smerdon
11/2/2017,Blue Diamond Prelude (C&G),Caulfield,Property,0.75,$5 ,G3,Craig Williams,Robert Smerdon
11/2/2017,Blue Diamond Prelude (F),Caulfield,Catchy,0.1,$2.45F,G2,Craig Williams,David & Ben Hayes & Tom Dabernig
11/2/2017,C.F. Orr Stakes,Caulfield,Black Heart Bart,1,$3.20F,G1,Brad Rawiller,Darren Weir
