Date,Race,Track,Winner,Margin,SP,Race Grade,Jockey,Trainer
16/7/1988,ATC Winter Stakes,Rosehill,Billy Asset,0.2,$2.25F,LR,Troy Phillips,Jack Denham
23/7/1988,Tatts QLD Tattersall's Mile,Eagle Farm,My Blue Kingdom,0.1,$5.50F,LR,Brian York,Bruce McLachlan
30/7/1988,Missile Stakes,Rosehill,Campaign King,2.3,$2.25F,G3,John Marshall,Bart Cummings
1/8/1988,Darwin Cup,Darwin,Templeman,0.1,$15 ,LR,Greg Hall,Sheila Arnold
3/8/1988,Belgravia Stakes,Belmont,Tails Away,0.5,$51 ,LR,Jeremy Hutswitt,N Wellington
6/8/1988,San Domenico Stakes,Warwick Farm,Merimbula Bay,0.3,$13 ,G2,Darren Beadman,Barbara Joseph
6/8/1988,Sir John Monash Stakes,Sandown,Congressman,0.1,$10 ,LR,Darren Gauci,George Hanlon
6/8/1988,Murray Bridge Gold Cup,Morphettville,Magic Konstev,3,$12 ,LR,Andrew Greskie,Walter Patching
6/8/1988,W.H. Wylie Handicap,Morphettville,Charfire,1.5,$7 ,LR,Dean Cleaver,Jim Smith
13/8/1988,Premiere Stakes,Rosehill,Sky Chase,1.3,$5.50 ,G3,John Marshall,Bart Cummings
13/8/1988,Ascot Handicap,Eagle Farm,Dancing Report,2,$34 ,LR,David Withington,John Wallace
13/8/1988,QTC Exhibition Handicap,Eagle Farm,Biscay Prince,0.5,6.5,LR,Les Hill,Brian Mayfield-Smith
13/8/1988,Schillaci Stakes,Caulfield,Rancho Ruler,2.5,$4.50 ,G2,Darren Gauci,Jim Marconi
17/8/1988,Balaklava Cup,Balaklava,High Quest,0.5,$11 ,LR,Des Coleman,John Hawkes
18/8/1988,Gosford Classic,Gosford,Swiftly Carson,1,$2.90F,LR,John Marshall,Bart Cummings
20/8/1988,Silver Shadow Stakes,Warwick Farm,Startling Lass,1.8,$2.25F,G3,Gavan Duffy,Jack Denham
20/8/1988,Up And Coming Stakes,Warwick Farm,Star Watch,3.5,$1.50F,G3,Mick Dittman,Tommy Smith
20/8/1988,Warwick Farm Spring Cup,Warwick Farm,Peaceful Kingdom,0.8,$10 ,LR,John Marshall,Bob Law
20/8/1988,Winx Stakes,Warwick Farm,Flotilla,0.5,$3 ,G2,Gavan Duffy,Jack Denham
20/8/1988,Manikato Stakes,Moonee Valley,Rancho Ruler,2,$5.50 ,G2,Darren Gauci,Jim Marconi
20/8/1988,QTC Metropolitan Handicap,Eagle Farm,Sea Scandal,0.1,$4.50F,LR,Neil Williams,F Adams
20/8/1988,Belmont Newmarket,Belmont,Straight Cash,1.3,$7 ,LR,Laurie Millington,D Hammer
27/8/1988,P.B. Lawrence Stakes,Sandown,My Steely Dan,3.5,$4.50F,G2,Brent Thomson,Tony Gillies
27/8/1988,ATC Premier's Cup,Rosehill,Natural Habit,0.4,$26 ,LR,Darren Beadman,Bob Thomsen
27/8/1988,Golden Rose,Rosehill,Swiftly Carson,0.2,$11 ,G2,Noel Barker,Bart Cummings
31/8/1988,Hannan's Handicap,Kalgoorlie,Solid Bond,0.1,$5F,LR,Jonno Bennier,Frank Maynard
3/9/1988,Chelmsford Stakes,Randwick,Sky Chase,4.5,$1.75F,G2,Gavan Duffy,Bart Cummings
3/9/1988,Furious Stakes,Randwick,Research,0.1,$13 ,LR,Mick Dittman,Clarry Conners
3/9/1988,Ming Dynasty Quality,Randwick,Royal Pardon,0.2,$7 ,LR,John Marshall,Bart Cummings
3/9/1988,Roman Consul Stakes,Randwick,Wonder Dancer,1,$16 ,G3,Noel Barker,Tommy Smith
3/9/1988,Tatt's NSW Tattersall's Plate,Randwick,Might,0.4,$5F,LR,Shane Dye,Tommy Smith
3/9/1988,Tramway Stakes,Randwick,Gold Trump,0.5,$1.80F,G3,John Marshall,Bart Cummings
3/9/1988,Behemoth Stakes,Morphettville,Redelva,3,$1.90F,G2,Neville Wilson,Greg Varcoe
3/9/1988,Kalgoorlie Gold Cup,Kalgoorlie,Zio Remus,1,$5 ,LR,Jeff Berry,Frank Maynard
3/9/1988,Heatherlie Stakes,Caulfield,Ebeli Show,5.5,$7 ,LR,Michael Clarke,John Leek Snr
