YEAR,RACE,TRACK,DISTANCE,WINNER,TRAINER,JOCKEY,COUNTRY,,,,,,,,,
1819,UK 2000 GUINEAS,NEWMARKET,1600,Antar,James Edwards,Edward Edwards,ENGLAND,,,,,,,,,
1820,EPSOM DERBY,EPSOM,2420,Sailor,William Chifney,Sam Chifney Jnr,ENGLAND,,,,,,,,,
1820,EPSOM OAKS,EPSOM,2420,Caroline,Robert Stephenson,Harry Edwards,ENGLAND,,,,,,,,,
1820,ST LEGER,DONCASTER,2921,St Patrick,John Lonsdale,Bob Johnson,ENGLAND,,,,,,,,,
1820,UK 1000 GUINEAS,NEWMARKET,1600,Rowena,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1820,UK 2000 GUINEAS,NEWMARKET,1600,Pindarrie,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1821,EPSOM DERBY,EPSOM,2420,Gustavus,Crouch,Sam Day,ENGLAND,,,,,,,,,
1821,EPSOM OAKS,EPSOM,2420,Augusta,R. Prince Jr.,Jem Robinson,ENGLAND,,,,,,,,,
1821,ST LEGER,DONCASTER,2921,Jack Spigot,Isaac Blades,Bill Scott,ENGLAND,,,,,,,,,
1821,UK 1000 GUINEAS,NEWMARKET,1600,Zeal,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1821,UK 2000 GUINEAS,NEWMARKET,1600,Reginald,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1822,EPSOM DERBY,EPSOM,2420,Moses,William Butler,Tom Goodisson,ENGLAND,,,,,,,,,
1822,EPSOM OAKS,EPSOM,2420,Pastille,Robert Robson,Harry Edwards,ENGLAND,,,,,,,,,
1822,ST LEGER,DONCASTER,2921,Theodore,James Croft,John Jackson,ENGLAND,,,,,,,,,
1822,UK 1000 GUINEAS,NEWMARKET,1600,Whizgig,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1822,UK 2000 GUINEAS,NEWMARKET,1600,Pastille,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1823,ASCOT GOLD CUP,ASCOT (UK),4000,Marcellus,William Chifney,Will Wheatley,ENGLAND,,,,,,,,,
1823,EPSOM DERBY,EPSOM,2420,Emilius,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1823,EPSOM OAKS,EPSOM,2420,Zinc,Robert Robson,Frank Buckle,ENGLAND,,,,,,,,,
1823,ST LEGER,DONCASTER,2921,Barefoot,Richard Shepherd,Tom Goodisson,ENGLAND,,,,,,,,,
