Player,Team
Xavier Taylor,Melbourne
Aidan Corr,North Melbourne
Bailey Scott,North Melbourne
Blake Thredgold,North Melbourne
Brayden George,North Melbourne
Caleb Daniel,North Melbourne
Callum Coleman-Jones,North Melbourne
Cameron Zurhaar,North Melbourne
Charlie Comben,North Melbourne
Charlie Spargo,North Melbourne
Colby McKercher,North Melbourne
Cooper Harvey,North Melbourne
Cooper Trembath,North Melbourne
Dylan Stephens,North Melbourne
Finn O'Sullivan,North Melbourne
George Wardlaw,North Melbourne
Griffin Logue,North Melbourne
Harry Sheezel,North Melbourne
Hugo Mikunda,North Melbourne
Jack Darling,North Melbourne
Jackson Archer,North Melbourne
Jacob Konstanty,North Melbourne
Josh Goater,North Melbourne
Jy Simpkin,North Melbourne
Lachy Dovaston,North Melbourne
Luke Davies-Uniacke,North Melbourne
Luke McDonald,North Melbourne
Luke Parker,North Melbourne
Luke Urquhart,North Melbourne
Matt Whitlock,North Melbourne
Nick Larkey,North Melbourne
Paul Curtis,North Melbourne
Riley Hardeman,North Melbourne
River Stevens,North Melbourne
Robert Hansen,North Melbourne
Taylor Goad,North Melbourne
Toby Pink,North Melbourne
Tom Powell,North Melbourne
Tom Blamires, North Melbourne
Tristan Xerri,North Melbourne
Wil Dawson,North Melbourne
Zac Banch,North Melbourne
Zac Fisher,North Melbourne
Zane Duursma,North Melbourne
Aliir Aliir,Port Adelaide
Benny Barrett,Port Adelaide
Brandon Zerk-Thatcher,Port Adelaide
Christian Moraes,Port Adelaide
Connor Rozee,Port Adelaide
Corey Durdin,Port Adelaide
Dante Visentini,Port Adelaide
Darcy Byrne-Jones,Port Adelaide
Esava Ratugolea,Port Adelaide
Ewan Mackinlay,Port Adelaide
Harrison Ramm,Port Adelaide
Ivan Soldo,Port Adelaide
Jack Lukosius,Port Adelaide
Jack Watkins,Port Adelaide
Jack Whitlock,Port Adelaide
Jackson Mead,Port Adelaide
Jacob Moss,Port Adelaide
Jacob Wehr,Port Adelaide
Jase Burgoyne,Port Adelaide
Jason Horne-Francis,Port Adelaide
Joe Berry,Port Adelaide
Joe Richards,Port Adelaide
Jordon Sweet,Port Adelaide
Josh Lai,Port Adelaide
Josh Sinn,Port Adelaide
Kane Farrell,Port Adelaide
Lachie Jones,Port Adelaide
Logan Evans,Port Adelaide
Mani Liddy,Port Adelaide
Miles Bergman,Port Adelaide
Mitch Georgiades,Port Adelaide
Mitch Zadow,Port Adelaide
Ollie Lord,Port Adelaide
Ollie Wines,Port Adelaide
Sam Powell-Pepper,Port Adelaide
Todd Marshall,Port Adelaide
Tom Anastasopoulos,Port Adelaide
Tom Cochrane,Port Adelaide
Will Brodie,Port Adelaide
Will Lorenz,Port Adelaide
Willem Drew,Port Adelaide
Xavier Walsh,Port Adelaide
Zak Butters,Port Adelaide
Ben Miller,Richmond
Campbell Gray,Richmond
Dion Prestia,Richmond
Harry Armstrong,Richmond
Hugo Ralphsmith,Richmond
Jack Ross,Richmond
Jacob Hopper,Richmond
James Trezise,Richmond
Jasper Alger,Richmond
Jayden Short,Richmond
Jonty Faull,Richmond
Josh Gibcus,Richmond
Josh Smillie,Richmond
Judson Clarke,Richmond
Kaleb Smith,Richmond
Kane McAuliffe,Richmond
Liam Fawcett,Richmond
Luke Trainor,Richmond
Maurice Rioli,Richmond
Mykelti Lefau,Richmond
Nathan Broad,Richmond
Nick Vlastuin,Richmond
Noah Balta,Richmond
Noah Roberts-Thomson,Richmond
Oliver Hayes-Brown,Richmond
Patrick Retschko,Richmond
Rhyan Mansell,Richmond
Sam Banks,Richmond
Sam Cumming,Richmond
Sam Grlj,Richmond
Sam Lalor,Richmond
Samson Ryan,Richmond
Seth Campbell,Richmond
Steely Green,Richmond
Taj Hotton,Richmond
Tim Taranto,Richmond
Toby Nankervis,Richmond
Tom Brown,Richmond
Tom Burton,Richmond
Tom Lynch,Richmond
Tom Sims,Richmond
Tyler Sonsie,Richmond
Zane Peucker,Richmond
Alex Dodson,St Kilda
Alix Tauru,St Kilda
Angus Hastie,St Kilda
Anthony Caminiti,St Kilda
Bradley Hill,St Kilda
Callum Wilkie,St Kilda
Charlie Banfield,St Kilda
Cooper Sharman,St Kilda
Dan Butler,St Kilda
Darcy Wilson,St Kilda
Dougal Howard,St Kilda
Eamonn Armstrong,St Kilda
Hugh Boxshall,St Kilda
Hugo Garcia,St Kilda
Hunter Clark,St Kilda
Isaac Keeler,St Kilda
Jack Carroll,St Kilda
Jack Higgins,St Kilda
Jack Macrae,St Kilda
Jack Silvagni,St Kilda
Jack Sinclair,St Kilda
James Barrat,St Kilda
Kobe McDonald,St Kilda
Kye Fincher,St Kilda
Lance Collard,St Kilda
Liam Henry,St Kilda
Liam O'Connell,St Kilda
Liam Ryan,St Kilda
Liam Stocker,St Kilda
Marcus Windhager,St Kilda
Mason Wood,St Kilda
Mattaes Phillipou,St Kilda
Max Hall,St Kilda
Max King,St Kilda
Mitch Owens,St Kilda
Nasiah Wanganeen-Milera,St Kilda
Paddy Dow,St Kilda
Patrick Said,St Kilda
Rowan Marshall,St Kilda
Ryan Byrnes,St Kilda
Sam Flanders,St Kilda
Tobie Travaglia,St Kilda
Tom De Koning,St Kilda
Angus Sheldrick,Sydney
Billy Cootee,Sydney
Braeden Campbell,Sydney
Brodie Grundy,Sydney
Caiden Cleary,Sydney
Callum Mills,Sydney
Chad Warner,Sydney
Charlie Curnow,Sydney
Corey Warner,Sydney
Dane Rampe,Sydney
Errol Gulden,Sydney
Harry Cunningham,Sydney
Harry Kyle,Sydney
Hayden McLean,Sydney
Isaac Heeney,Sydney
Jai Serong,Sydney
Jake Lloyd,Sydney
James Jordon,Sydney
James Rowbottom,Sydney
Jesse Dattoli,Sydney
Jevan Phillipou,Sydney
Joel Amartey,Sydney
Joel Hamling,Sydney
Justin McInerney,Sydney
Lewis Melican,Sydney
Liam Hetherton,Sydney
Logan McDonald,Sydney
Malcolm Rosas,Sydney
Matt Roberts,Sydney
Max King,Sydney
Ned Bowman,Sydney
Nick Blakey,Sydney
Noah Chamberlain,Sydney
Patrick Snell,Sydney
Peter Ladhams,Sydney
Riak Andrew,Sydney
Riley Bice,Sydney
Sam Wicks,Sydney
Taylor Adams,Sydney
Tom Hanily,Sydney
Tom McCartin,Sydney
Tom Papley,Sydney
William Edwards,Sydney
William Green,Sydney
Archer Reid,West Coast
Bailey J. Williams,West Coast
Bo Allan,West Coast
Brady Hough,West Coast
Brandon Starcevich,West Coast
Clay Hall,West Coast
Cooper Duff-Tytler,West Coast
Deven Robertson,West Coast
Elijah Hewett,West Coast
Elliot Yeo,West Coast
