Year,Round,Player,Team
1996,14,Kingsley Hunter,Fremantle
1996,13,Craig Biddiscombe,Geelong
1996,12,Ben Cousins,West Coast
1996,11,Adem Yze,Melbourne
1996,10,Daniel Chick,Hawthorn
1996,9,Jarrad Schofield,West Coast
1996,8,Nick Carter,Fitzroy
1996,7,Andrew Schauble,Collingwood
1996,6,Shannon Grant,Sydney
1996,5,Adam Simpson,North Melbourne
1996,4,Greg Harding,Fremantle
1996,3,Luke Darcy,Western Bulldogs
1996,2,Daniel Bandy,Fremantle
1996,1,Matthew Primus,Fitzroy
1995,22,Aaron Lord,Geelong
1995,21,Stephen Jurica,Richmond
1995,20,Andrew McLeod,Adelaide
1995,19,Justin Crawford,Sydney
1995,18,Fraser Gehrig,West Coast
1995,17,Daniel Hargraves,Western Bulldogs
1995,16,Craig Callaghan,Fremantle
1995,15,Adrian Whitehead,Carlton
1995,14,Joel Smith,St Kilda
